"season","batsman","phase","runs","balls_faced","dot_balls","strike_rate","norm_runs","norm_strike_rate","norm_dot_balls","clutch_score"
2014,"KK Nair","Powerplay",136,111,48,122.52,0.31924882629108,0.3063,0.421052631578947,0.2374
2014,"KL Rahul","Death",23,18,4,127.78,0.0539906103286385,0.31945,0.0350877192982456,0.2044
2014,"KL Rahul","Middle",94,103,35,91.26,0.220657276995305,0.22815,0.307017543859649,0.1724
2014,"KL Rahul","Powerplay",49,45,18,108.89,0.115023474178404,0.272225,0.157894736842105,0.1821
2014,"KM Jadhav","Death",141,91,22,154.95,0.330985915492958,0.387375,0.192982456140351,0.3124
2014,"KM Jadhav","Middle",8,9,1,88.89,0.0187793427230047,0.222225,0.0087719298245614,0.1381
2014,"KM Jadhav","Powerplay",0,4,4,0,0,0,0.0350877192982456,-0.0035
2014,"KP Pietersen","Death",20,15,4,133.33,0.0469483568075117,0.333325,0.0350877192982456,0.2106
2014,"KP Pietersen","Middle",118,101,35,116.83,0.276995305164319,0.292075,0.307017543859649,0.2276
2014,"KP Pietersen","Powerplay",156,123,44,126.83,0.366197183098592,0.317075,0.385964912280702,0.2615
2014,"KV Sharma","Death",39,27,6,144.44,0.0915492957746479,0.3611,0.0526315789473684,0.2389
2014,"KV Sharma","Middle",3,3,0,100,0.00704225352112676,0.25,0,0.1521
2014,"KW Richardson","Death",1,2,1,50,0.00234741784037559,0.125,0.0087719298245614,0.0748
2014,"Karanveer Singh","Death",1,1,0,100,0.00234741784037559,0.25,0,0.1507
2014,"L Balaji","Death",1,3,2,33.33,0.00234741784037559,0.083325,0.0175438596491228,0.0489
2014,"LMP Simmons","Death",21,19,4,110.53,0.0492957746478873,0.276325,0.0350877192982456,0.1771
2014,"LMP Simmons","Middle",185,132,44,140.15,0.434272300469484,0.350375,0.385964912280702,0.3019
2014,"LMP Simmons","Powerplay",188,148,65,127.03,0.44131455399061,0.317575,0.570175438596491,0.2659
2014,"LR Shukla","Death",6,9,6,66.67,0.0140845070422535,0.166675,0.0526315789473684,0.099
2014,"LR Shukla","Middle",25,29,9,86.21,0.0586854460093897,0.215525,0.0789473684210526,0.139
2014,"LRPL Taylor","Death",22,16,5,137.5,0.0516431924882629,0.34375,0.043859649122807,0.2174
2014,"LRPL Taylor","Middle",31,38,11,81.58,0.0727699530516432,0.20395,0.0964912280701754,0.1346
2014,"LRPL Taylor","Powerplay",6,8,5,75,0.0140845070422535,0.1875,0.043859649122807,0.1123
2014,"M Manhas","Death",25,15,3,166.67,0.0586854460093897,0.416675,0.0263157894736842,0.265
2014,"M Manhas","Middle",10,11,4,90.91,0.0234741784037559,0.227275,0.0350877192982456,0.1399
2014,"M Morkel","Death",4,4,0,100,0.00938967136150235,0.25,0,0.1528
2014,"M Vijay","Middle",105,68,14,154.41,0.246478873239437,0.386025,0.12280701754386,0.2933
2014,"M Vijay","Powerplay",102,129,65,79.07,0.23943661971831,0.197675,0.570175438596491,0.1334
2014,"M Vohra","Death",6,7,2,85.71,0.0140845070422535,0.214275,0.0175438596491228,0.131
2014,"M Vohra","Middle",108,93,33,116.13,0.253521126760563,0.290325,0.289473684210526,0.2213
2014,"M Vohra","Powerplay",210,144,62,145.83,0.492957746478873,0.364575,0.543859649122807,0.3122
2014,"M de Lange","Death",1,2,1,50,0.00234741784037559,0.125,0.0087719298245614,0.0748
2014,"MA Agarwal","Death",6,2,1,300,0.0140845070422535,0.75,0.0087719298245614,0.4533
2014,"MA Agarwal","Middle",25,20,7,125,0.0586854460093897,0.3125,0.0614035087719298,0.199
2014,"MA Agarwal","Powerplay",84,71,29,118.31,0.197183098591549,0.295775,0.254385964912281,0.2112
2014,"MA Starc","Death",48,49,16,97.96,0.112676056338028,0.2449,0.140350877192982,0.1667
2014,"MA Starc","Middle",37,35,14,105.71,0.0868544600938967,0.264275,0.12280701754386,0.1723
2014,"MC Henriques","Death",0,3,2,0,0,0,0.0175438596491228,-0.0018
2014,"MC Henriques","Middle",9,11,4,81.82,0.0211267605633803,0.20455,0.0350877192982456,0.1256
2014,"MEK Hussey","Middle",83,77,24,107.79,0.194835680751174,0.269475,0.210526315789474,0.1991
2014,"MEK Hussey","Powerplay",126,110,47,114.55,0.295774647887324,0.286375,0.412280701754386,0.2193
2014,"MG Johnson","Death",56,51,23,109.8,0.131455399061033,0.2745,0.201754385964912,0.184
2014,"MK Pandey","Death",58,40,9,145,0.136150234741784,0.3625,0.0789473684210526,0.2505
2014,"MK Pandey","Middle",230,195,58,117.95,0.539906103286385,0.294875,0.508771929824561,0.288
2014,"MK Pandey","Powerplay",121,124,54,97.58,0.284037558685446,0.24395,0.473684210526316,0.1842
2014,"MK Tiwary","Death",78,55,13,141.82,0.183098591549296,0.35455,0.114035087719298,0.2563
2014,"MK Tiwary","Middle",73,63,18,115.87,0.171361502347418,0.289675,0.157894736842105,0.2094
2014,"MK Tiwary","Powerplay",1,5,4,20,0.00234741784037559,0.05,0.0350877192982456,0.0272
2014,"MM Sharma","Death",1,3,2,33.33,0.00234741784037559,0.083325,0.0175438596491228,0.0489
2014,"MS Bisla","Powerplay",3,9,6,33.33,0.00704225352112676,0.083325,0.0526315789473684,0.0468
2014,"MS Dhoni","Death",301,176,37,171.02,0.706572769953052,0.42755,0.324561403508772,0.436
2014,"MS Dhoni","Middle",70,82,25,85.37,0.164319248826291,0.213425,0.219298245614035,0.1554
2014,"Mandeep Singh","Powerplay",24,28,12,85.71,0.0563380281690141,0.214275,0.105263157894737,0.1349
2014,"Mohammed Shami","Death",2,4,2,50,0.00469483568075117,0.125,0.0175438596491228,0.0747
2014,"Mohammed Shami","Middle",1,4,2,25,0.00234741784037559,0.0625,0.0175438596491228,0.0364
2014,"NJ Maddinson","Powerplay",16,14,9,114.29,0.0375586854460094,0.285725,0.0789473684210526,0.1748
2014,"NV Ojha","Death",95,57,13,166.67,0.223004694835681,0.416675,0.114035087719298,0.3055
2014,"NV Ojha","Middle",103,79,30,130.38,0.241784037558685,0.32595,0.263157894736842,0.2418
2014,"NV Ojha","Powerplay",34,34,18,100,0.07981220657277,0.25,0.157894736842105,0.1582
2014,"P Kumar","Death",1,2,1,50,0.00234741784037559,0.125,0.0087719298245614,0.0748
2014,"PA Patel","Death",19,9,0,211.11,0.0446009389671361,0.527775,0,0.33
2014,"PA Patel","Middle",56,53,14,105.66,0.131455399061033,0.26415,0.12280701754386,0.1856
2014,"PA Patel","Powerplay",130,129,69,100.78,0.305164319248826,0.25195,0.605263157894737,0.1822
2014,"PP Chawla","Death",31,18,4,172.22,0.0727699530516432,0.43055,0.0350877192982456,0.2767
2014,"PP Chawla","Middle",0,2,1,0,0,0,0.0087719298245614,-9e-04
2014,"PP Ojha","Death",4,8,2,50,0.00938967136150235,0.125,0.0175438596491228,0.0761
2014,"PV Tambe","Death",5,9,4,55.56,0.0117370892018779,0.1389,0.0350877192982456,0.0834
2014,"Q de Kock","Middle",37,30,8,123.33,0.0868544600938967,0.308325,0.0701754385964912,0.204
2014,"Q de Kock","Powerplay",116,102,51,113.73,0.272300469483568,0.284325,0.447368421052632,0.2075
2014,"R Ashwin","Death",23,23,6,100,0.0539906103286385,0.25,0.0526315789473684,0.1609
2014,"R Ashwin","Middle",22,25,7,88,0.0516431924882629,0.22,0.0614035087719298,0.1414
2014,"R Bhatia","Death",42,30,10,140,0.0985915492957746,0.35,0.087719298245614,0.2308
2014,"R Bhatia","Middle",25,25,6,100,0.0586854460093897,0.25,0.0526315789473684,0.1623
2014,"R Dhawan","Death",62,54,19,114.81,0.145539906103286,0.287025,0.166666666666667,0.1992
2014,"R Dhawan","Middle",20,21,11,95.24,0.0469483568075117,0.2381,0.0964912280701754,0.1473
2014,"R Rampaul","Middle",13,13,6,100,0.0305164319248826,0.25,0.0526315789473684,0.1539
2014,"R Shukla","Death",17,20,9,85,0.039906103286385,0.2125,0.0789473684210526,0.1316
2014,"R Shukla","Middle",1,1,0,100,0.00234741784037559,0.25,0,0.1507
2014,"R Tewatia","Death",7,3,1,233.33,0.0164319248826291,0.583325,0.0087719298245614,0.354
2014,"R Tewatia","Middle",9,10,1,90,0.0211267605633803,0.225,0.0087719298245614,0.1405
2014,"R Vinay Kumar","Death",4,7,2,57.14,0.00938967136150235,0.14285,0.0175438596491228,0.0868
2014,"RA Jadeja","Death",83,67,12,123.88,0.194835680751174,0.3097,0.105263157894737,0.2337
2014,"RA Jadeja","Middle",63,46,13,136.96,0.147887323943662,0.3424,0.114035087719298,0.2384
2014,"RG Sharma","Death",171,93,25,183.87,0.401408450704225,0.459675,0.219298245614035,0.3743
2014,"RG Sharma","Middle",193,180,60,107.22,0.453051643192488,0.26805,0.526315789473684,0.2441
2014,"RG Sharma","Powerplay",26,34,19,76.47,0.0610328638497653,0.191175,0.166666666666667,0.1163
2014,"RN ten Doeschate","Death",52,32,9,162.5,0.122065727699531,0.40625,0.0789473684210526,0.2725
2014,"RN ten Doeschate","Middle",0,1,1,0,0,0,0.0087719298245614,-9e-04
2014,"RR Rossouw","Death",21,11,3,190.91,0.0492957746478873,0.477275,0.0263157894736842,0.2985
2014,"RR Rossouw","Middle",12,16,6,75,0.028169014084507,0.1875,0.0526315789473684,0.1157
2014,"RR Rossouw","Powerplay",6,14,11,42.86,0.0140845070422535,0.10715,0.0964912280701754,0.0589
2014,"RV Uthappa","Death",73,38,7,192.11,0.171361502347418,0.480275,0.0614035087719298,0.3334
2014,"RV Uthappa","Middle",298,229,61,130.13,0.699530516431925,0.325325,0.535087719298246,0.3515
2014,"RV Uthappa","Powerplay",289,218,87,132.57,0.678403755868545,0.331425,0.763157894736842,0.3261
2014,"S Anirudha","Death",3,5,2,60,0.00704225352112676,0.15,0.0175438596491228,0.0904
2014,"S Dhawan","Death",23,15,5,153.33,0.0539906103286385,0.383325,0.043859649122807,0.2418
2014,"S Dhawan","Middle",119,109,34,109.17,0.279342723004695,0.272925,0.298245614035088,0.2177
2014,"S Dhawan","Powerplay",235,208,92,112.98,0.551643192488263,0.28245,0.807017543859649,0.2543
2014,"S Gopal","Death",11,10,2,110,0.0258215962441315,0.275,0.0175438596491228,0.171
2014,"S Kaul","Death",2,2,0,100,0.00469483568075117,0.25,0,0.1514
2014,"S Nadeem","Death",4,6,2,66.67,0.00938967136150235,0.166675,0.0175438596491228,0.1011
2014,"S Nadeem","Middle",3,14,10,21.43,0.00704225352112676,0.053575,0.087719298245614,0.0255
2014,"S Rana","Death",51,37,8,137.84,0.119718309859155,0.3446,0.0701754385964912,0.2357
2014,"S Rana","Middle",2,6,4,33.33,0.00469483568075117,0.083325,0.0350877192982456,0.0479
2014,"S Rana","Powerplay",20,23,14,86.96,0.0469483568075117,0.2174,0.12280701754386,0.1322
2014,"SA Yadav","Death",121,85,22,142.35,0.284037558685446,0.355875,0.192982456140351,0.2794
2014,"SA Yadav","Middle",43,34,9,126.47,0.10093896713615,0.316175,0.0789473684210526,0.2121
2014,"SA Yadav","Powerplay",0,4,3,0,0,0,0.0263157894736842,-0.0026
2014,"SE Marsh","Middle",55,36,9,152.78,0.129107981220657,0.38195,0.0789473684210526,0.26
2014,"SE Marsh","Powerplay",15,18,13,83.33,0.0352112676056338,0.208325,0.114035087719298,0.1242
2014,"SK Raina","Death",81,61,12,132.79,0.190140845070423,0.331975,0.105263157894737,0.2457
2014,"SK Raina","Middle",275,205,60,134.15,0.645539906103286,0.335375,0.526315789473684,0.3423
2014,"SK Raina","Powerplay",167,104,45,160.58,0.392018779342723,0.40145,0.394736842105263,0.319
2014,"SL Malinga","Death",2,4,2,50,0.00469483568075117,0.125,0.0175438596491228,0.0747
2014,"SP Narine","Death",7,11,4,63.64,0.0164319248826291,0.1591,0.0350877192982456,0.0969
2014,"SP Narine","Middle",3,4,0,75,0.00704225352112676,0.1875,0,0.1146
2014,"SPD Smith","Death",82,48,9,170.83,0.192488262910798,0.427075,0.0789473684210526,0.3061
2014,"SPD Smith","Middle",65,64,23,101.56,0.152582159624413,0.2539,0.201754385964912,0.1779
2014,"SPD Smith","Powerplay",5,3,0,166.67,0.0117370892018779,0.416675,0,0.2535
2014,"SR Watson","Death",47,27,8,174.07,0.110328638497653,0.435175,0.0701754385964912,0.2872
2014,"SR Watson","Middle",160,121,58,132.23,0.375586854460094,0.330575,0.508771929824561,0.2601
2014,"SR Watson","Powerplay",39,57,31,68.42,0.0915492957746479,0.17105,0.271929824561404,0.1029
2014,"STR Binny","Death",38,32,12,118.75,0.0892018779342723,0.296875,0.105263157894737,0.1944
2014,"STR Binny","Middle",85,89,35,95.51,0.199530516431925,0.238775,0.307017543859649,0.1724
2014,"STR Binny","Powerplay",0,1,1,0,0,0,0.0087719298245614,-9e-04
2014,"SV Samson","Death",19,19,7,100,0.0446009389671361,0.25,0.0614035087719298,0.1572
2014,"SV Samson","Middle",198,146,40,135.62,0.464788732394366,0.33905,0.350877192982456,0.3078
2014,"SV Samson","Powerplay",122,115,62,106.09,0.286384976525822,0.265225,0.543859649122807,0.1907
2014,"Sandeep Sharma","Death",2,5,2,40,0.00469483568075117,0.1,0.0175438596491228,0.0597
2014,"Shakib Al Hasan","Death",119,76,12,156.58,0.279342723004695,0.39145,0.105263157894737,0.3081
2014,"Shakib Al Hasan","Middle",108,81,26,133.33,0.253521126760563,0.333325,0.228070175438596,0.2532
2014,"Shakib Al Hasan","Powerplay",2,3,1,66.67,0.00469483568075117,0.166675,0.0087719298245614,0.1005
2014,"Shivam Sharma","Death",5,3,1,166.67,0.0117370892018779,0.416675,0.0087719298245614,0.2526
2014,"TG Southee","Middle",4,4,3,100,0.00938967136150235,0.25,0.0263157894736842,0.1502
2014,"UBT Chand","Powerplay",2,10,7,20,0.00469483568075117,0.05,0.0614035087719298,0.0253
2014,"UT Yadav","Death",2,4,2,50,0.00469483568075117,0.125,0.0175438596491228,0.0747
2014,"V Kohli","Death",58,36,7,161.11,0.136150234741784,0.402775,0.0614035087719298,0.2764
2014,"V Kohli","Middle",256,197,55,129.95,0.60093896713615,0.324875,0.482456140350877,0.327
2014,"V Kohli","Powerplay",45,68,41,66.18,0.105633802816901,0.16545,0.359649122807018,0.095
2014,"V Sehwag","Death",24,12,3,200,0.0563380281690141,0.5,0.0263157894736842,0.3143
2014,"V Sehwag","Middle",151,100,23,151,0.354460093896714,0.3775,0.201754385964912,0.3127
2014,"V Sehwag","Powerplay",280,222,95,126.13,0.657276995305164,0.315325,0.833333333333333,0.303
2014,"VH Zol","Middle",7,5,1,140,0.0164319248826291,0.35,0.0087719298245614,0.2141
2014,"VH Zol","Powerplay",22,21,12,104.76,0.0516431924882629,0.2619,0.105263157894737,0.1621
2014,"VR Aaron","Death",35,33,12,106.06,0.0821596244131455,0.26515,0.105263157894737,0.1732
2014,"VR Aaron","Middle",0,1,1,0,0,0,0.0087719298245614,-9e-04
2014,"VS Malik","Death",1,2,1,50,0.00234741784037559,0.125,0.0087719298245614,0.0748
2014,"WD Parnell","Death",2,2,1,100,0.00469483568075117,0.25,0.0087719298245614,0.1505
2014,"WP Saha","Death",90,44,9,204.55,0.211267605633803,0.511375,0.0789473684210526,0.3623
2014,"WP Saha","Middle",164,128,42,128.12,0.384976525821596,0.3203,0.368421052631579,0.2708
2014,"WP Saha","Powerplay",108,83,39,130.12,0.253521126760563,0.3253,0.342105263157895,0.237
2014,"Y Venugopal Rao","Death",20,13,1,153.85,0.0469483568075117,0.384625,0.0087719298245614,0.244
2014,"Y Venugopal Rao","Middle",42,47,15,89.36,0.0985915492957746,0.2234,0.131578947368421,0.1505
2014,"Y Venugopal Rao","Powerplay",9,5,2,180,0.0211267605633803,0.45,0.0175438596491228,0.2746
2014,"YK Pathan","Death",73,46,6,158.7,0.171361502347418,0.39675,0.0526315789473684,0.2842
2014,"YK Pathan","Middle",183,114,42,160.53,0.429577464788732,0.401325,0.368421052631579,0.3328
