"season","bowler","phase","runs_conceded","balls_bowled","wickets","dot_balls","economy","norm_wickets","norm_dot_balls","norm_economy","clutch_score"
2014,"JW Hastings","Powerplay",26,13,0,5,12,0,0.0442477876106195,0.448979591836735,-0.0316
2014,"K Santokie","Death",55,25,1,5,13.2,0.0625,0.0442477876106195,0.497959183673469,0.001
2014,"K Santokie","Middle",5,6,1,3,5,0.0625,0.0265486725663717,0.163265306122449,0.0291
2014,"K Santokie","Powerplay",31,20,1,7,9.3,0.0625,0.0619469026548673,0.338775510204082,0.0222
2014,"KA Pollard","Death",110,55,2,9,12,0.125,0.079646017699115,0.448979591836735,0.054
2014,"KA Pollard","Middle",144,99,1,21,8.73,0.0625,0.185840707964602,0.315510204081633,0.0617
2014,"KA Pollard","Powerplay",11,6,0,3,11,0,0.0265486725663717,0.408163265306122,-0.0329
2014,"KK Cooper","Death",58,42,1,10,8.29,0.0625,0.0884955752212389,0.297551020408163,0.0343
2014,"KK Cooper","Middle",55,36,1,10,9.17,0.0625,0.0884955752212389,0.333469387755102,0.0307
2014,"KK Cooper","Powerplay",33,32,2,14,6.19,0.125,0.123893805309735,0.211836734693878,0.091
2014,"KV Sharma","Death",20,22,1,7,5.45,0.0625,0.0619469026548673,0.181632653061225,0.0379
2014,"KV Sharma","Middle",298,217,13,79,8.24,0.8125,0.699115044247788,0.295510204081633,0.6677
2014,"KV Sharma","Powerplay",75,68,3,28,6.62,0.1875,0.247787610619469,0.229387755102041,0.1639
2014,"KW Richardson","Death",116,62,5,13,11.23,0.3125,0.115044247787611,0.417551020408163,0.1803
2014,"KW Richardson","Middle",18,24,1,11,4.5,0.0625,0.0973451327433628,0.142857142857143,0.0524
2014,"KW Richardson","Powerplay",75,81,4,38,5.56,0.25,0.336283185840708,0.186122448979592,0.2323
2014,"Karanveer Singh","Death",38,19,4,8,12,0.25,0.0707964601769911,0.448979591836735,0.1263
2014,"Karanveer Singh","Middle",126,107,8,34,7.07,0.5,0.300884955752212,0.247755102040816,0.3655
2014,"L Balaji","Death",150,82,6,19,10.98,0.375,0.168141592920354,0.40734693877551,0.2347
2014,"L Balaji","Middle",82,67,2,22,7.34,0.125,0.194690265486726,0.258775510204082,0.1075
2014,"L Balaji","Powerplay",73,62,4,31,7.06,0.25,0.274336283185841,0.24734693877551,0.2076
2014,"LMP Simmons","Death",24,12,1,2,12,0.0625,0.0176991150442478,0.448979591836735,-0.0021
2014,"LMP Simmons","Middle",10,6,0,0,10,0,0,0.36734693877551,-0.0367
2014,"LR Shukla","Middle",69,49,1,21,8.45,0.0625,0.185840707964602,0.304081632653061,0.0628
2014,"LR Shukla","Powerplay",19,9,0,1,12.67,0,0.00884955752212389,0.476326530612245,-0.045
2014,"M Kartik","Death",8,6,0,1,8,0,0.00884955752212389,0.285714285714286,-0.0259
2014,"M Kartik","Middle",70,37,2,7,11.35,0.125,0.0619469026548673,0.422448979591837,0.0513
